|Name|m|n|p|Time/s|
|p_b|5000|6000|3|0.147000|
|p_c|5000|6000|3|0.629000|
|p_a|5000|6000|4|0.176000|
|p_b|5000|6000|4|0.121000|
|p_c|5000|6000|4|0.638000|
|p_a|5000|6000|5|0.168000|
|p_b|5000|6000|5|0.149000|
|p_c|5000|6000|5|0.631000|
|p_a|5000|6000|6|0.137000|
|p_b|5000|6000|6|0.124000|
|p_c|5000|6000|6|0.658000|
|p_a|5000|6000|7|0.124000|
|p_b|5000|6000|7|0.112000|
|p_c|5000|6000|7|0.660000|
|p_a|5000|6000|8|0.137000|
|p_b|5000|6000|8|0.104000|
|p_c|5000|6000|8|0.650000|
|p_a|5000|6000|9|0.134000|
|p_b|5000|6000|9|0.119000|
|p_c|5000|6000|9|0.657000|
|p_a|5000|6000|10|0.121000|
|p_b|5000|6000|10|0.116000|
|p_c|5000|6000|10|0.662000|
|p_a|5000|6000|11|0.123000|
|p_b|5000|6000|11|0.113000|
|p_c|5000|6000|11|0.659000|
|p_a|5000|6000|12|0.121000|
|p_b|5000|6000|12|0.105000|
|p_c|5000|6000|12|0.659000|
|s_a|6000|5000|-1|0.656000|
|s_b|6000|5000|-1|0.648000|
|s_c|6000|5000|-1|0.647000|
|p_a|6000|5000|1|0.395000|
|p_b|6000|5000|1|0.373000|
|p_c|6000|5000|1|0.663000|
|p_a|6000|5000|2|0.223000|
|p_b|6000|5000|2|0.210000|
|p_c|6000|5000|2|0.720000|
|p_a|6000|5000|3|0.207000|
|p_b|6000|5000|3|0.165000|
|p_c|6000|5000|3|0.718000|
|p_a|6000|5000|4|0.184000|
|p_b|6000|5000|4|0.150000|
|p_c|6000|5000|4|0.683000|
|p_a|6000|5000|5|0.193000|
|p_b|6000|5000|5|0.144000|
|p_c|6000|5000|5|0.640000|
|p_a|6000|5000|6|0.135000|
|p_b|6000|5000|6|0.146000|
|p_c|6000|5000|6|0.668000|
|p_a|6000|5000|7|0.125000|
|p_b|6000|5000|7|0.111000|
|p_c|6000|5000|7|0.659000|
|p_a|6000|5000|8|0.128000|
|p_b|6000|5000|8|0.116000|
|p_c|6000|5000|8|0.664000|
|p_a|6000|5000|9|0.140000|
|p_b|6000|5000|9|0.118000|
|p_c|6000|5000|9|0.665000|
|p_a|6000|5000|10|0.127000|
|p_b|6000|5000|10|0.112000|
|p_c|6000|5000|10|0.666000|
|p_a|6000|5000|11|0.129000|
|p_b|6000|5000|11|0.115000|
|p_c|6000|5000|11|0.660000|
|p_a|6000|5000|12|0.131000|
|p_b|6000|5000|12|0.103000|
|p_c|6000|5000|12|0.651000|
|s_a|7000|4000|-1|0.620000|
|s_b|7000|4000|-1|0.610000|
|s_c|7000|4000|-1|0.628000|
|p_a|7000|4000|1|0.370000|
|p_b|7000|4000|1|0.351000|
|p_c|7000|4000|1|0.611000|
|p_a|7000|4000|2|0.202000|
|p_b|7000|4000|2|0.203000|
|p_c|7000|4000|2|0.607000|
|p_a|7000|4000|3|0.151000|
|p_b|7000|4000|3|0.144000|
|p_c|7000|4000|3|0.611000|
|p_a|7000|4000|4|0.151000|
|p_b|7000|4000|4|0.114000|
|p_c|7000|4000|4|0.641000|
|p_a|7000|4000|5|0.138000|
|p_b|7000|4000|5|0.124000|
|p_c|7000|4000|5|0.581000|
|p_a|7000|4000|6|0.122000|
|p_b|7000|4000|6|0.110000|
|p_c|7000|4000|6|0.546000|
|p_a|7000|4000|7|0.142000|
|p_b|7000|4000|7|0.114000|
|p_c|7000|4000|7|0.527000|
|p_a|7000|4000|8|0.133000|
|p_b|7000|4000|8|0.091000|
|p_c|7000|4000|8|0.631000|
|p_a|7000|4000|9|0.127000|
|p_b|7000|4000|9|0.113000|
|p_c|7000|4000|9|0.653000|
|p_a|7000|4000|10|0.127000|
|p_b|7000|4000|10|0.103000|
|p_c|7000|4000|10|0.621000|
|p_a|7000|4000|11|0.112000|
|p_b|7000|4000|11|0.105000|
|p_c|7000|4000|11|0.634000|
|p_a|7000|4000|12|0.112000|
|p_b|7000|4000|12|0.098000|
|p_c|7000|4000|12|0.607000|
|s_a|8000|3000|-1|0.542000|
|s_b|8000|3000|-1|0.529000|
|s_c|8000|3000|-1|0.538000|
|p_a|8000|3000|1|0.317000|
|p_b|8000|3000|1|0.311000|
|p_c|8000|3000|1|0.534000|
|p_a|8000|3000|2|0.173000|
|p_b|8000|3000|2|0.159000|
|p_c|8000|3000|2|0.537000|
|p_a|8000|3000|3|0.154000|
|p_b|8000|3000|3|0.119000|
|p_c|8000|3000|3|0.525000|
|p_a|8000|3000|4|0.132000|
|p_b|8000|3000|4|0.096000|
|p_c|8000|3000|4|0.540000|
|p_a|8000|3000|5|0.121000|
|p_b|8000|3000|5|0.113000|
|p_c|8000|3000|5|0.528000|
|p_a|8000|3000|6|0.108000|
|p_b|8000|3000|6|0.102000|
|p_c|8000|3000|6|0.542000|
|p_a|8000|3000|7|0.123000|
|p_b|8000|3000|7|0.089000|
|p_c|8000|3000|7|0.509000|
|p_a|8000|3000|8|0.110000|
|p_b|8000|3000|8|0.084000|
|p_c|8000|3000|8|0.536000|
|p_a|8000|3000|9|0.103000|
|p_b|8000|3000|9|0.090000|
|p_c|8000|3000|9|0.536000|
|p_a|8000|3000|10|0.115000|
|p_b|8000|3000|10|0.095000|
|p_c|8000|3000|10|0.517000|
|p_a|8000|3000|11|0.096000|
|p_b|8000|3000|11|0.094000|
|p_c|8000|3000|11|0.534000|
|p_a|8000|3000|12|0.114000|
|p_b|8000|3000|12|0.104000|
|p_c|8000|3000|12|0.528000|
|s_a|9000|2000|-1|0.391000|
|s_b|9000|2000|-1|0.392000|
|s_c|9000|2000|-1|0.404000|
|p_a|9000|2000|1|0.251000|
|p_b|9000|2000|1|0.229000|
|p_c|9000|2000|1|0.398000|
|p_a|9000|2000|2|0.136000|
|p_b|9000|2000|2|0.122000|
|p_c|9000|2000|2|0.393000|
|p_a|9000|2000|3|0.141000|
|p_b|9000|2000|3|0.105000|
|p_c|9000|2000|3|0.393000|
|p_a|9000|2000|4|0.101000|
|p_b|9000|2000|4|0.094000|
|p_c|9000|2000|4|0.406000|
|p_a|9000|2000|5|0.092000|
|p_b|9000|2000|5|0.084000|
|p_c|9000|2000|5|0.396000|
|p_a|9000|2000|6|0.081000|
|p_b|9000|2000|6|0.073000|
|p_c|9000|2000|6|0.392000|
|p_a|9000|2000|7|0.076000|
|p_b|9000|2000|7|0.068000|
|p_c|9000|2000|7|0.406000|
|p_a|9000|2000|8|0.088000|
|p_b|9000|2000|8|0.063000|
|p_c|9000|2000|8|0.403000|
|p_a|9000|2000|9|0.074000|
|p_b|9000|2000|9|0.075000|
|p_c|9000|2000|9|0.400000|
|p_a|9000|2000|10|0.083000|
|p_b|9000|2000|10|0.074000|
|p_c|9000|2000|10|0.407000|
|p_a|9000|2000|11|0.080000|
|p_b|9000|2000|11|0.074000|
|p_c|9000|2000|11|0.403000|
|p_a|9000|2000|12|0.077000|
|p_b|9000|2000|12|0.072000|
|p_c|9000|2000|12|0.408000|
|s_a|10000|1000|-1|0.229000|
|s_b|10000|1000|-1|0.224000|
|s_c|10000|1000|-1|0.216000|
|p_a|10000|1000|1|0.134000|
|p_b|10000|1000|1|0.128000|
|p_c|10000|1000|1|0.218000|
|p_a|10000|1000|2|0.081000|
|p_b|10000|1000|2|0.070000|
|p_c|10000|1000|2|0.221000|
|p_a|10000|1000|3|0.057000|
|p_b|10000|1000|3|0.050000|
|p_c|10000|1000|3|0.220000|
|p_a|10000|1000|4|0.052000|
|p_b|10000|1000|4|0.042000|
|p_c|10000|1000|4|0.229000|
|p_a|10000|1000|5|0.078000|
|p_b|10000|1000|5|0.084000|
|p_c|10000|1000|5|0.225000|
|p_a|10000|1000|6|0.051000|
|p_b|10000|1000|6|0.046000|
|p_c|10000|1000|6|0.230000|
|p_a|10000|1000|7|0.044000|
|p_b|10000|1000|7|0.053000|
|p_c|10000|1000|7|0.227000|
|p_a|10000|1000|8|0.051000|
|p_b|10000|1000|8|0.044000|
|p_c|10000|1000|8|0.223000|
|p_a|10000|1000|9|0.043000|
|p_b|10000|1000|9|0.041000|
|p_c|10000|1000|9|0.225000|
|p_a|10000|1000|10|0.043000|
|p_b|10000|1000|10|0.040000|
|p_c|10000|1000|10|0.216000|
|p_a|10000|1000|11|0.041000|
|p_b|10000|1000|11|0.051000|
|p_c|10000|1000|11|0.229000|
|p_a|10000|1000|12|0.046000|
|p_b|10000|1000|12|0.056000|
|p_c|10000|1000|12|0.219000|
