|Name|m|n|p|Time/s|
|p_b|5000|5000|3|0.090000|
|p_c|5000|5000|3|0.090000|
|p_a|5000|5000|4|0.102000|
|p_b|5000|5000|4|0.074000|
|p_c|5000|5000|4|0.075000|
|p_a|5000|5000|5|0.093000|
|p_b|5000|5000|5|0.087000|
|p_c|5000|5000|5|0.088000|
|p_a|5000|5000|6|0.078000|
|p_b|5000|5000|6|0.073000|
|p_c|5000|5000|6|0.080000|
|p_a|5000|5000|7|0.069000|
|p_b|5000|5000|7|0.065000|
|p_c|5000|5000|7|0.070000|
|p_a|5000|5000|8|0.064000|
|p_b|5000|5000|8|0.059000|
|p_c|5000|5000|8|0.065000|
|p_a|5000|5000|9|0.071000|
|p_b|5000|5000|9|0.070000|
|p_c|5000|5000|9|0.141000|
|p_a|5000|5000|10|0.069000|
|p_b|5000|5000|10|0.067000|
|p_c|5000|5000|10|0.151000|
|p_a|5000|5000|11|0.067000|
|p_b|5000|5000|11|0.068000|
|p_c|5000|5000|11|0.176000|
|p_a|5000|5000|12|0.078000|
|p_b|5000|5000|12|0.063000|
|p_c|5000|5000|12|0.193000|
|s_a|6000|4000|-1|0.412000|
|s_b|6000|4000|-1|0.410000|
|s_c|6000|4000|-1|0.411000|
|p_a|6000|4000|1|0.231000|
|p_b|6000|4000|1|0.232000|
|p_c|6000|4000|1|0.229000|
|p_a|6000|4000|2|0.127000|
|p_b|6000|4000|2|0.126000|
|p_c|6000|4000|2|0.129000|
|p_a|6000|4000|3|0.087000|
|p_b|6000|4000|3|0.088000|
|p_c|6000|4000|3|0.089000|
|p_a|6000|4000|4|0.093000|
|p_b|6000|4000|4|0.076000|
|p_c|6000|4000|4|0.070000|
|p_a|6000|4000|5|0.080000|
|p_b|6000|4000|5|0.081000|
|p_c|6000|4000|5|0.087000|
|p_a|6000|4000|6|0.075000|
|p_b|6000|4000|6|0.071000|
|p_c|6000|4000|6|0.077000|
|p_a|6000|4000|7|0.067000|
|p_b|6000|4000|7|0.065000|
|p_c|6000|4000|7|0.079000|
|p_a|6000|4000|8|0.075000|
|p_b|6000|4000|8|0.070000|
|p_c|6000|4000|8|0.084000|
|p_a|6000|4000|9|0.097000|
|p_b|6000|4000|9|0.098000|
|p_c|6000|4000|9|0.217000|
|p_a|6000|4000|10|0.085000|
|p_b|6000|4000|10|0.090000|
|p_c|6000|4000|10|0.243000|
|p_a|6000|4000|11|0.086000|
|p_b|6000|4000|11|0.092000|
|p_c|6000|4000|11|0.275000|
|p_a|6000|4000|12|0.077000|
|p_b|6000|4000|12|0.078000|
|p_c|6000|4000|12|0.271000|
|s_a|7000|3000|-1|0.375000|
|s_b|7000|3000|-1|0.360000|
|s_c|7000|3000|-1|0.360000|
|p_a|7000|3000|1|0.204000|
|p_b|7000|3000|1|0.204000|
|p_c|7000|3000|1|0.203000|
|p_a|7000|3000|2|0.113000|
|p_b|7000|3000|2|0.121000|
|p_c|7000|3000|2|0.130000|
|p_a|7000|3000|3|0.108000|
|p_b|7000|3000|3|0.090000|
|p_c|7000|3000|3|0.097000|
|p_a|7000|3000|4|0.073000|
|p_b|7000|3000|4|0.079000|
|p_c|7000|3000|4|0.089000|
|p_a|7000|3000|5|0.107000|
|p_b|7000|3000|5|0.101000|
|p_c|7000|3000|5|0.106000|
|p_a|7000|3000|6|0.089000|
|p_b|7000|3000|6|0.086000|
|p_c|7000|3000|6|0.092000|
|p_a|7000|3000|7|0.080000|
|p_b|7000|3000|7|0.075000|
|p_c|7000|3000|7|0.084000|
|p_a|7000|3000|8|0.074000|
|p_b|7000|3000|8|0.074000|
|p_c|7000|3000|8|0.084000|
|p_a|7000|3000|9|0.088000|
|p_b|7000|3000|9|0.088000|
|p_c|7000|3000|9|0.214000|
|p_a|7000|3000|10|0.072000|
|p_b|7000|3000|10|0.079000|
|p_c|7000|3000|10|0.245000|
|p_a|7000|3000|11|0.076000|
|p_b|7000|3000|11|0.073000|
|p_c|7000|3000|11|0.282000|
|p_a|7000|3000|12|0.076000|
|p_b|7000|3000|12|0.070000|
|p_c|7000|3000|12|0.285000|
|s_a|8000|2000|-1|0.291000|
|s_b|8000|2000|-1|0.279000|
|s_c|8000|2000|-1|0.274000|
|p_a|8000|2000|1|0.157000|
|p_b|8000|2000|1|0.155000|
|p_c|8000|2000|1|0.154000|
|p_a|8000|2000|2|0.087000|
|p_b|8000|2000|2|0.091000|
|p_c|8000|2000|2|0.096000|
|p_a|8000|2000|3|0.085000|
|p_b|8000|2000|3|0.067000|
|p_c|8000|2000|3|0.073000|
|p_a|8000|2000|4|0.077000|
|p_b|8000|2000|4|0.056000|
|p_c|8000|2000|4|0.062000|
|p_a|8000|2000|5|0.068000|
|p_b|8000|2000|5|0.071000|
|p_c|8000|2000|5|0.072000|
|p_a|8000|2000|6|0.068000|
|p_b|8000|2000|6|0.064000|
|p_c|8000|2000|6|0.073000|
|p_a|8000|2000|7|0.059000|
|p_b|8000|2000|7|0.056000|
|p_c|8000|2000|7|0.067000|
|p_a|8000|2000|8|0.056000|
|p_b|8000|2000|8|0.050000|
|p_c|8000|2000|8|0.068000|
|p_a|8000|2000|9|0.067000|
|p_b|8000|2000|9|0.061000|
|p_c|8000|2000|9|0.209000|
|p_a|8000|2000|10|0.064000|
|p_b|8000|2000|10|0.058000|
|p_c|8000|2000|10|0.244000|
|p_a|8000|2000|11|0.064000|
|p_b|8000|2000|11|0.057000|
|p_c|8000|2000|11|0.282000|
|p_a|8000|2000|12|0.059000|
|p_b|8000|2000|12|0.051000|
|p_c|8000|2000|12|0.283000|
|s_a|9000|1000|-1|0.176000|
|s_b|9000|1000|-1|0.165000|
|s_c|9000|1000|-1|0.159000|
|p_a|9000|1000|1|0.089000|
|p_b|9000|1000|1|0.088000|
|p_c|9000|1000|1|0.087000|
|p_a|9000|1000|2|0.049000|
|p_b|9000|1000|2|0.050000|
|p_c|9000|1000|2|0.055000|
|p_a|9000|1000|3|0.050000|
|p_b|9000|1000|3|0.052000|
|p_c|9000|1000|3|0.053000|
|p_a|9000|1000|4|0.029000|
|p_b|9000|1000|4|0.029000|
|p_c|9000|1000|4|0.035000|
|p_a|9000|1000|5|0.035000|
|p_b|9000|1000|5|0.037000|
|p_c|9000|1000|5|0.041000|
|p_a|9000|1000|6|0.036000|
|p_b|9000|1000|6|0.034000|
|p_c|9000|1000|6|0.044000|
|p_a|9000|1000|7|0.033000|
|p_b|9000|1000|7|0.031000|
|p_c|9000|1000|7|0.041000|
|p_a|9000|1000|8|0.032000|
|p_b|9000|1000|8|0.028000|
|p_c|9000|1000|8|0.041000|
|p_a|9000|1000|9|0.036000|
|p_b|9000|1000|9|0.036000|
|p_c|9000|1000|9|0.191000|
|p_a|9000|1000|10|0.036000|
|p_b|9000|1000|10|0.034000|
|p_c|9000|1000|10|0.240000|
|p_a|9000|1000|11|0.035000|
|p_b|9000|1000|11|0.030000|
|p_c|9000|1000|11|0.261000|
|p_a|9000|1000|12|0.034000|
|p_b|9000|1000|12|0.026000|
|p_c|9000|1000|12|0.283000|
